# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-4.88131827e-08 -1.21521969e+02  2.45362955e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, 1.570796326794898]
[-5.81619183e+00 -1.19449823e+02  8.03396544e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, 1.0365118618986693]
[-1.55380484e+01 -1.16401859e+02  2.19034720e-07];[1.570796326794898, 1.570796326794898, 1.570796326794898, 0.5131311615921669]
[-2.69688012e+01 -1.12596362e+02 -1.21552260e-07];[1.570796326794898, 1.570796326794898, 1.570796326794898, -0.010472064522288846]
[-3.86068310e+01 -1.07745704e+02  2.37816098e-07];[1.570796326794898, 1.570796326794898, 1.570796326794898, -0.5340707492937279]
[-4.93668807e+01 -1.01938200e+02  2.43948679e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, -1.0576695267456337]
[-5.86072373e+01 -9.55165803e+01  4.71208012e-08];[1.570796326794898, 1.570796326794898, 1.570796326794898, -1.581268302306108]
[   1.62030711 -126.47828526    5.69572582];[1.570796326794898, 1.570796326794898, 1.0365118618986693, 1.6351241763683855]
[  -5.60999444 -124.32249036    5.69720272];[1.570796326794898, 1.570796326794898, 1.0474156264883896, 1.035199048642077]
[ -15.20932724 -121.49910897    5.85835573];[1.570796326794898, 1.570796326794898, 1.0471931006804427, 0.513157953699445]
[ -26.67753346 -117.79114542    5.94787184];[1.570796326794898, 1.570796326794898, 1.0471976420234554, -0.010472611299988381]
[ -38.39596667 -112.93486923    6.01696222];[1.570796326794898, 1.570796326794898, 1.0471975493429921, -0.5340707381349998]
[ -49.18946835 -107.07308505    6.10078945];[1.570796326794898, 1.570796326794898, 1.0471975512344236, -1.057669526973364]
[ -58.36434036 -100.61936932    6.21979322];[1.570796326794898, 1.570796326794898, 1.0471975511958211, -1.5812683023014575]
[   1.47068763 -132.17652677   13.78151699];[1.570796326794898, 1.570796326794898, 0.5129130863003919, 1.6351241763682918]
[  -5.40822299 -130.27926267   13.84511965];[1.570796326794898, 1.570796326794898, 0.52381685089009, 1.0351990486420721]
