# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[-36.53394337 -94.22431906 -36.53394352];[-0.08491020394621414, 0.08491021558250261, 2.2692944657608667, -2.2692944559478443];[-33.32, -106.49, -34.21]
[-36.75380091 -93.61954149 -30.35560778];[0.1390461228204402, 0.0750391112479597, 2.148505457014036, -2.308064138274873];[-37.33, -99.28, -32.29]
[-36.75090683 -93.6310127  -23.95628163];[0.3648149341021459, 0.07455604090357382, 2.0016967981522407, -2.323940226300633];[-37.48, -99.42, -26.5]
[-36.74817674 -93.64201818 -17.56082055];[0.596924359904091, 0.078772868872094, 1.8326050038223727, -2.3265595489431803];[-37.59, -99.64, -20.31]
[-36.74622803 -93.64786884 -11.17098672];[0.8349679049374972, 0.08505314806620862, 1.6401046512198347, -2.3214223464762145];[-37.91, -99.74, -13.66]
[-36.74510281 -93.65018932  -4.78640044];[1.0755021966796308, 0.09015532996685327, 1.4256896290479908, -2.315245307751016];[-38.13, -99.73, -6.29]
[-36.74468352 -93.65207127   1.59536713];[1.311740234083969, 0.0913591860451074, 1.1946511006332026, -2.313607566772798];[-38.15, -99.47, 1.35]
[-36.74556001 -93.64933979   7.97814376];[1.5353941233645647, 0.087953940225584, 0.9552750837089565, -2.318045885447109];[-37.66, -99.27, 8.48]
[-36.74710246 -93.64550569  14.36517689];[1.739271982005844, 0.08185107965993574, 0.7153396610887811, -2.3245538002965613];[-36.88, -99.8, 14.5]
[-36.74944564 -93.63722763  20.75789605];[1.9200405468090078, 0.07622306046491259, 0.4800400636326979, -2.3265993356991657];[-36.34, -100.3, 20.7]
[-36.75231531 -93.62546645  27.15556188];[2.0777262803249257, 0.07408964296100007, 0.2511914447085102, -2.3178972268748645];[-35.94, -100.73, 26.56]
[-36.75519369 -93.61491258  33.55600527];[2.2143456031700843, 0.07759634366064058, 0.02812207557257282, -2.2940539546167944];[-35.72, -101.4, 30.97]
[-36.75855982 -93.60252276  39.95769104];[2.3331756647221535, 0.08791026459062568, -0.1912641280614309, -2.2530576727247955];[-35.42, -102.16, 35.64]
[-30.35560782 -93.61954032  36.75380114];[2.3080641725587374, -0.13904612670752473, -0.07503908326961523, -2.1485055047563817];[-30.39, -100.83, 34.28]
[-30.35156197 -93.64063203  30.35156205];[2.178862060135312, -0.1477581563848588, 0.14775816618086596, -2.178862084591673];[-30.27, -100.19, 29.77]
[-30.34878398 -93.65348287  23.95231243];[2.0308483031569895, -0.14965337608323787, 0.3758336739417996, -2.193163993891219];[-30.8, -99.9, 23.92]
[-30.34629838 -93.66600678  17.55719258];[1.8606007900804604, -0.14624614236823388, 0.6106187473740277, -2.1941777781248257];[-30.92, -100.0, 17.53]
[-30.3446718  -93.6729487   11.16822247];[1.6666501027425993, -0.14029156764977166, 0.8517246145169473, -2.1875657415761873];[-31.05, -100.11, 10.78]
[-30.34379513 -93.67593047   4.78507269];[1.4501399682772105, -0.13523700988909498, 1.0955342141264282, -2.180353500045808];[-31.35, -100.2, 4.08]
[-30.34359408 -93.67666068  -1.59492662];[1.216322076308583, -0.1340408149485284, 1.3349047853674274, -2.178533833605833];[-31.63, -100.3, -2.94]
[-30.34414763 -93.67479696  -7.97603311];[0.9736636475657916, -0.13743388834748987, 1.5609875997846896, -2.1835923716742642];[-31.67, -100.37, -9.84]
[-30.34538403 -93.67009743 -14.361907  ];[0.7305218400046238, -0.14338047062494783, 1.7666042028763362, -2.191402852958531];[-31.69, -100.42, -16.25]
[-30.34742777 -93.6605043  -20.75404263];[0.4923460858852649, -0.148460555221767, 1.948626582119495, -2.1950164216651222];[-31.72, -100.29, -22.75]
[-30.35011404 -93.64723507 -27.15153241];[0.26101478098838726, -0.14949115802148288, 2.1074537346107096, -2.1879138504011864];[-31.72, -100.08, -28.84]
[-30.35350918 -93.63032229 -33.55252022];[0.03586255953358339, -0.14433195461200418, 2.2456328240069725, -2.165839920226166];[-31.75, -99.68, -34.76]
[-30.35787045 -93.60832238 -39.9551644 ];[-0.18532667159142785, -0.13181585333273904, 2.366610040278479, -2.1267410501332273];[-31.51, -99.27, -40.59]
[-23.9563985  -93.62985956 -36.7510401 ];[-0.07454192566480992, -0.36483397435851234, 2.323988771628056, -2.0017469323062036];[-25.45, -99.17, -38.38]
[-23.95244231 -93.65224782 -30.3489246 ];[0.14967057243805912, -0.3758540433332971, 2.1932175259044167, -2.030902650253151];[-25.18, -99.71, -32.31]
[-23.94895731 -93.67461633 -23.94895738];[0.37916661158302944, -0.3791665723440186, 2.0438698821400516, -2.0438699116217283];[-25.25, -99.99, -26.15]
[-23.94667036 -93.68913271 -17.55416779];[0.615640232489737, -0.3765867936540867, 1.8729803293149565, -2.0440568351370394];[-25.33, -100.18, -19.81]
[-23.94527746 -93.69775145 -11.1659203 ];[0.8585808835989244, -0.37092151647877664, 1.678442687895332, -2.036785553735545];[-25.35, -100.22, -13.42]
[-23.94455882 -93.70199919  -4.78395828];[1.1042290634565415, -0.3658734882650778, 1.4610457517986386, -2.0291316762716702];[-25.38, -100.28, -6.92]
[-23.94437252 -93.70322076   1.59454295];[1.3451812438730897, -0.36465724442103364, 1.225854233183253, -2.0272031720913275];[-25.45, -100.24, -0.26]
[-23.94484962 -93.70028399   7.97427004];[1.5723933724236374, -0.368084629826862, 0.9814538848062269, -2.03255789928745];[-25.54, -100.09, 6.83]
[-23.94587455 -93.69411039  14.35918589];[1.7787063378650352, -0.3739188377418557, 0.7364475909687901, -2.0409301849112103];[-25.62, -100.02, 13.71]
[-23.94769086 -93.68266304  20.75081361];[1.9612983554746255, -0.3784673653863046, 0.4965018467153226, -2.0452878804582273];[-25.71, -99.86, 20.59]
[-23.9507074  -93.66288641  27.14859404];[2.121113181860524, -0.3784020383430444, 0.2636334499695344, -2.039293884741052];[-25.71, -99.69, 27.21]
[-23.95433422 -93.641243    33.54982664];[2.260688135137525, -0.3713718395452581, 0.037052857406634526, -2.0184518417758905];[-25.56, -99.87, 32.15]
[-23.95864362 -93.6181451   39.95231878];[2.3835950288742866, -0.35615786463521293, -0.1854969570016158, -1.9806758563299964];[-25.13, -100.16, 36.76]
[-17.56150094 -93.63430024  36.74909489];[2.326879675932483, -0.5970770661073461, -0.07868158347369737, -1.8329368464974929];[-19.63, -99.37, 35.57]
[-17.55795348 -93.65768234  30.34726591];[2.1945335520034757, -0.610783788370763, 0.14635918200163003, -1.8609632566533745];[-19.36, -99.63, 30.24]
[-17.55489652 -93.68132277  23.94752411];[2.0443955285811404, -0.6157940875864145, 0.3767116644402073, -1.8733204612884968];[-19.15, -99.92, 23.9]
[-17.55153456 -93.71237508  17.55153459];[1.8726548121098912, -0.6137690096791475, 0.6137689510075874, -1.8726547986793174];[-19.01, -100.14, 17.43]
[-17.55034229 -93.72309168  11.16393429];[1.678220870355872, -0.6083217985652171, 0.857478243461568, -1.8654015210885766];[-18.88, -100.3, 10.67]
[-17.54972558 -93.7290601    4.782994  ];[1.4609202954346299, -0.6032052356755095, 1.1037376290168124, -1.8578195889063138];[-18.82, -100.41, 4.09]
