# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle;Real Position
[-11.16148653 -93.75909765  -4.78205094];[1.0977949477079896, -0.8464523143876285, 1.4541827824455873, -1.6636800326274097];[-10.87, -102.21, -5.51]
[-11.16131518 -93.76181483   1.59388204];[1.3385753970571206, -0.8451235380591815, 1.2193997899326385, -1.6618585326472681];[-11.14, -101.29, 0.73]
[-11.16169471 -93.75568822   7.9712559 ];[1.5651690204561222, -0.8488146430080368, 0.9748924541711887, -1.666881334531331];[-11.25, -101.23, 7.43]
[ -4.78231549 -93.75073235  11.16205809];[1.6640107167979339, -1.098040465028362, 0.8466451344372429, -1.4544905486118191];[-4.8, -100.99, 10.48]
[ -4.78094508 -93.79530753   4.78094509];[1.4466987902943234, -1.0913749677566749, 1.0913749309639125, -1.446698834186147];[-4.76, -101.02, 4.5]
[ -4.7808244  -93.79951832  -1.59349321];[1.2126144012328648, -1.0899070449835, 1.3314276664812603, -1.4449946741566257];[-4.75, -101.21, -2.12]
[ -4.78166536 -93.77191339  -7.9704811 ];[0.969237128328686, -1.0944538405538786, 1.5580456041679525, -1.4503171686982832];[-4.68, -101.39, -8.77]
[ -4.7829189  -93.73129199 -14.35568877];[0.7245115315951965, -1.1015101522040145, 1.7641883864137398, -1.458482908707379];[-4.57, -101.53, -15.28]
[  1.59401658 -93.74931627 -11.16217049];[0.8454066525474396, -1.3390029289380831, 1.6623478922266013, -1.219793763756205];[1.93, -101.1, -12.56]
[  1.5935407  -93.79509244  -4.78096452];[1.0900306997872973, -1.3315759096315056, 1.445152480112827, -1.212750996770026];[1.89, -101.12, -5.93]
[  1.59327439 -93.82036386   1.59327439];[1.3292560948459267, -1.3292561136741707, 1.2105661682033588, -1.2105661868903899];[1.89, -101.13, 0.71]
[  1.59378585 -93.77153927   7.97051679];[1.5564221965917067, -1.3350088630796404, 0.9679412427523127, -1.2160010417693699];[1.86, -101.06, 7.46]
[  1.59422308 -93.7296248   14.35583498];[1.7624665740863663, -1.3428018655483376, 0.7233022856193276, -1.2234152313135382];[1.88, -101.01, 14.17]
[  7.97147107 -93.75148871  11.16198225];[1.6670481876345074, -1.5653313081345817, 0.8489112655955068, -0.9750013356928569];[8.44, -100.74, 11.2]
[  7.97026093 -93.77621633   4.78152889];[1.4501613927899704, -1.5578828420797506, 1.094331755838325, -0.9691280189824065];[8.43, -100.88, 4.52]
[  7.97007835 -93.78011182  -1.59369372];[1.2157339209609639, -1.556099600588159, 1.3347189739338354, -0.9677250175772254];[8.51, -100.97, -2.19]
[  7.97042904 -93.77238764  -7.97042906];[0.9715656730443935, -1.5609494035080063, 1.5609493816192406, -0.9715656838686291];[8.57, -101.13, -8.88]
[ 14.35467223 -93.74352855  -4.78252993];[1.1011546409058164, -1.7636934558127966, 1.458029538667956, -0.7242614950580983];[15.21, -100.87, -6.16]
[ 14.35448713 -93.74584922   1.59404785];[1.342239961843354, -1.7618138793326312, 1.222898261514768, -0.7229727357929847];[15.19, -100.83, 0.6]
[  23.94288033 -100.06844876    4.78604965];[1.2392420637829902, -1.7944353755947164, 0.9163718137359416, -0.24867248588035779];[24.71, -106.09, 4.48]
[  23.94232596 -100.07182171   -1.5952613 ];[1.02591268059341, -1.7936361206846616, 1.1337662923520588, -0.24798134485241047];[24.84, -106.41, -2.33]
[  23.94356776 -100.06503697   -7.97744453];[0.8057347993154934, -1.795692909344047, 1.3415792537029978, -0.24988571528316714];[24.93, -106.41, -9.18]
[  17.55427067 -100.07377057  -17.55427072];[0.4739071891247407, -1.6297367416791266, 1.6297367158610143, -0.47390723543350183];[18.64, -106.39, -19.14]
[  17.55273192 -100.08180413  -11.16764982];[0.6966039039669467, -1.6287379532956947, 1.4446933746361723, -0.4717600376406075];[18.66, -106.44, -12.94]
[  17.55156504 -100.08909511   -4.78512277];[0.9193284220123819, -1.6259997989165167, 1.243290089508201, -0.4692030647315066];[18.64, -106.47, -6.33]
[  17.55111794 -100.09265312    1.59494632];[1.1375134055618605, -1.6251674495394488, 1.0292951507167318, -0.4685251434041351];[18.57, -106.55, 0.4]
[  17.55210302 -100.0855023     7.97594037];[1.3458639357485067, -1.6273205106225426, 0.8082149904338467, -0.47036443431514713];[18.53, -106.5, 7.18]
[  17.55345333 -100.07791879   14.36040783];[1.5393910479522492, -1.6297356250415582, 0.5850337226219904, -0.47306242897376893];[18.56, -106.25, 13.91]
[  11.16814704 -100.07438961   17.55346175];[1.6290202432584746, -1.4449658816820241, 0.47188832604156483, -0.6967660810648668];[11.94, -106.38, 17.21]
[  11.16560447 -100.10505949   11.1656045 ];[1.4431226590576205, -1.4431226753467556, 0.6946192465602166, -0.6946192576266479];[12.08, -106.51, 11.02]
[  11.16481501 -100.11266142    4.78420156];[1.241779749823831, -1.4404699192470796, 0.9176615052835826, -0.6921933170877963];[12.09, -106.59, 4.27]
[  11.16450333 -100.11639802   -1.59463447];[1.02772439645844, -1.4396638873185237, 1.1359935643289294, -0.691517982607897];[12.04, -106.77, -2.29]
[  11.16518081 -100.10890831   -7.97443846];[0.8064071959418885, -1.4417474439355267, 1.3443297245885673, -0.6933181331209215];[12.09, -106.84, -8.91]
[  11.16689141 -100.08919748  -14.35885675];[0.5830739287072819, -1.4445346387379754, 1.5382388893477539, -0.6959938065239788];[12.12, -106.86, -15.63]
