# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-1.25021896e-13 -9.06648691e+01  1.35906610e-10];[1.3741682595051454, -1.374168284375867, 1.3741682588178878, -1.3741682843758771]
[ 2.39125979e+01 -9.84954169e+01 -1.11072037e-10];[1.1265506628710156, -1.8434176839407774, 1.1265506585724225, -0.2882980292322572]
[ 15.95617193 -98.49018309 -15.95629641];[0.5653233162876317, -1.6418778110571253, 1.6429984422137864, -0.5629344797887431]
[ 15.95467287 -98.50002404  -7.97507551];[0.8494524037555735, -1.6384294148380847, 1.3998149385141447, -0.5599381527033831]
[ 1.59536156e+01 -9.85093816e+01 -4.47172434e-07];[1.1317779403767718, -1.6353464642777964, 1.1317647035931613, -0.5575573976283918]
[ 15.95467318 -98.50003482   7.97507213];[1.399826877145062, -1.6384269713538078, 0.8494407651149284, -0.5599345506028971]
[ 15.95619934 -98.48973851  15.95619569];[1.6427464960765812, -1.6427388923090187, 0.564013359784287, -0.5640131713752644]
[  7.97554694 -98.49052824  15.95553499];[1.6387918445824747, -1.4001569781634717, 0.5601120378991069, -0.8496857347668965]
[  7.9731155  -98.53373544   7.97311577];[1.3950294284864537, -1.395030877784766, 0.8451554839526061, -0.8451551396201741]
[ 7.97252889e+00 -9.85436507e+01 -1.28244136e-06];[1.1273789684288418, -1.3921757490104867, 1.127382110828358, -0.842731303272205]
[  7.97311652 -98.53373503  -7.9731159 ];[0.8451542065124709, -1.3950288455644013, 1.395032134638541, -0.8451520350723972]
[  7.97554637 -98.49052423 -15.95553448];[0.5601130591764254, -1.400161293678896, 1.638791938483803, -0.84967692894765]
[ 1.50345979e-06 -9.84541965e+01 -2.39461456e+01];[0.27673438869804706, -1.130265001371229, 1.8509215485210437, -1.1303019731759283]
[ 4.41657988e-09 -9.84905811e+01 -1.59553306e+01];[0.5578953002539006, -1.1323492042599237, 1.6360572314427497, -1.1323492501945414]
[ 9.77462792e-10 -9.85336762e+01 -7.97303075e+00];[0.8429658011787454, -1.1276790751899761, 1.3925215178120016, -1.1276790975985371]
[-6.61017732e-10 -9.85860977e+01  1.91897363e-06];[1.123840575728994, -1.1238393205045518, 1.1238399164669028, -1.1238393002431282]
[ 6.34049789e-10 -9.85336682e+01  7.97303215e+00];[1.3925220596556867, -1.127676425553358, 0.8429674879046682, -1.1276764443850562]
[ 5.71904753e-10 -9.84905690e+01  1.59553306e+01];[1.6360547720114975, -1.1323471384019694, 0.5578996929060104, -1.1323471572585864]
[ 5.31728352e-10 -9.84542296e+01  2.39461494e+01];[1.8509038150060195, -1.13030011599976, 0.2767152693568087, -1.130300134914437]
[ -7.97553868 -98.49057677  15.95553867];[1.6387660769052226, -0.8496906788794789, 0.5600860982543164, -1.4001921159918196]
[ -7.97311549 -98.53373552   7.97311577];[1.3950294252057258, -0.8451551577024896, 0.8451554916567003, -1.3950308861642406]
[-7.97252889e+00 -9.85436507e+01 -1.27589132e-06];[1.127378937175111, -0.8427312754321257, 1.1273821289597081, -1.392175763072736]
[ -7.97311653 -98.53373498  -7.9731159 ];[0.8451541950407825, -0.8451520100978875, 1.3950321472761644, -1.3950288618398927]
[ -7.97554636 -98.49052428 -15.95553447];[0.5601130418917412, -0.84967689588672, 1.6387919318149011, -1.4001612948794149]
[-15.95619564 -98.48973891 -15.95619929];[0.5640132831636655, -0.5640133484890898, 1.642739037966174, -1.6427465415890903]
[-15.95467286 -98.50002406  -7.97507552];[0.8494524456521749, -0.5599381279923692, 1.3998148860882986, -1.638429378340394]
[-1.59536156e+01 -9.85093816e+01 -8.11013757e-08];[1.1317776751620807, -0.5575574175340143, 1.1317649710750217, -1.6353464850213106]
[-15.95467318 -98.50003481   7.97507213];[1.3998268872525752, -0.5599345874270165, 0.8494407704406556, -1.638426989023907]
[-15.95619935 -98.48973849  15.95619569];[1.6427464941577186, -0.5640132079505812, 0.5640133584805224, -1.6427389100676795]
[-2.39429739e+01 -9.84812177e+01 -3.72875718e-04];[1.1297311078517973, -0.27702948835938107, 1.1281764508682195, -1.8499653637389208]
[-3.19254235e+01 -1.06418823e+02  4.57581002e-08];[0.875389949484379, 0.12007529951280693, 0.8753902309097978, -1.7682462366103109]
[ -23.9418976  -106.42339782  -15.95990996];[0.3909712544120528, -0.1369522002674235, 1.358513538705798, -1.5742807771095337]
[ -23.93935765 -106.43065563   -7.97840996];[0.6443392281538179, -0.1376090980332386, 1.1345103288817282, -1.579160247696009]
[-2.39377419e+01 -1.06438172e+02 -5.67561440e-07];[0.8944034393070219, -0.13700825716264992, 0.8943975729726121, -1.5796525687337037]
