# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-1.25021896e-13 -9.06648691e+01  1.35906610e-10];[1.3741682595051454, -1.374168284375867, 1.3741682588178878, -1.3741682843758771]
[ 15.95266793 -94.5299474    3.98598098];[1.4025521500125517, -1.7810583259700379, 1.1085778770937427, -0.6458249034527435]
[ 1.59522612e+01 -9.45330684e+01  8.77490529e-07];[1.2581169054179155, -1.7793997926011262, 1.258120651551527, -0.6442382647159863]
[ 15.95256448 -94.52977599  -3.98588238];[1.108857912604869, -1.7808531091774202, 1.4030342590753297, -0.6452125773965407]
[ 11.96104618 -94.53757636 -11.96104231];[0.8017821591018375, -1.6674173254344111, 1.6674221866508545, -0.8017961736594789]
[ 11.96057949 -94.54378671  -7.97209866];[0.9537468890248386, -1.6628406680652688, 1.5372175652550684, -0.7983573162759787]
[ 11.96023706 -94.54853613  -3.98538091];[1.1052705270034247, -1.6592870470499999, 1.3990564689319243, -0.7957501071908414]
[ 1.19599599e+01 -9.45524029e+01 -4.71188630e-07];[1.2543509626635272, -1.6578729102985503, 1.2543491032893588, -0.7947351863380442]
[ 11.96023657 -94.54853813   3.98538004];[1.3990572670260075, -1.6592874007571183, 1.1052679770360636, -0.7957506320026168]
[ 11.96057878 -94.54378833   7.97209811];[1.5372171705403104, -1.6628409253303715, 0.953744138266922, -0.7983583038361557]
[ 11.96104442 -94.53758197  11.96104469];[1.6674161732134087, -1.667416387974707, 0.8017918417511828, -0.8017938365737842]
[  7.9723601  -94.53864746  11.96095011];[1.6630436178292436, -1.5374138326114148, 0.798470966187196, -0.9538788171369039]
[  7.97107118 -94.56408337   7.971071  ];[1.5323697410682617, -1.5323689920419667, 0.9498783921709844, -0.9498772122598769]
[  7.97081094 -94.56946132   3.98483709];[1.3944854048028494, -1.5289909727400979, 1.1012095124402026, -0.9471721893548987]
[ 7.97059281e+00 -9.45738709e+01  2.45227223e-07];[1.250040198182139, -1.5276342193458008, 1.2500411258940816, -0.9461026073377659]
[  7.97081064 -94.5694621   -3.98483669];[1.101208080891316, -1.5289915162523242, 1.3944854337492363, -0.9471725924491905]
[  7.9710707  -94.56408447  -7.97107088];[0.9498768769387351, -1.532369489563432, 1.5323687824818164, -0.9498779049406949]
[  7.97235963 -94.5386486  -11.96094983];[0.7984710089680204, -1.5374134216531234, 1.6630430881508977, -0.953877838823175]
[  3.98627687 -94.51488657 -15.9538961 ];[0.6454955179333701, -1.4035672387402784, 1.7814502900051499, -1.1093049834510285]
[  3.98565079 -94.53829685 -11.9609753 ];[0.7959746067078319, -1.3994213652186493, 1.659688032541331, -1.105566859475385]
[  3.98497677 -94.56416102  -7.97108036];[0.9473054694101647, -1.3946711354715686, 1.5291891620443507, -1.101360415910458]
[  3.98421948 -94.59331859  -3.9842195 ];[1.0978582289272671, -1.3906693642361267, 1.3906698020565726, -1.0978574694161372]
[ 3.98408358e+00 -9.45986613e+01 -1.29400964e-07];[1.2464412500236166, -1.3893649887527162, 1.2464407536850406, -1.096706816910802]
[  3.98421934 -94.59331891   3.98421934];[1.3906694164557363, -1.3906698431063964, 1.0978572136138096, -1.0978578816691602]
[  3.98497655 -94.56416102   7.9710805 ];[1.5291879615843293, -1.3946717888284812, 0.9473044835303827, -1.1013610656536321]
[  3.98565055 -94.53829692  11.96097574];[1.6596864532305589, -1.3994216598677829, 0.7959740683451179, -1.1055674896243208]
[  3.9862757  -94.51488828  15.95389569];[1.7814512791502302, -1.4035704122912154, 0.6454965809168218, -1.1092998951617874]
[ 7.26787213e-07 -9.45133493e+01  1.59540243e+01];[1.7801897412, -1.2587671764750452, 0.6446129415509199, -1.2587705016617468]
[-1.06491662e-09 -9.45371129e+01  1.19610627e+01];[1.6584685227709766, -1.2548467925872324, 0.7950682298260537, -1.25484678993685]
[ 6.14309466e-10 -9.45633015e+01  7.97113031e+00];[1.5280266895388974, -1.250378944720186, 0.9463661764128757, -1.2503789565471468]
[ 1.07507742e-08 -9.45931641e+01  3.98422812e+00];[1.3895546456939343, -1.2466149433837326, 1.0968628654088173, -1.246614937012681]
[-1.10419609e-09 -9.46258805e+01  1.00059995e-07];[1.2445281029529642, -1.2445282966753677, 1.2445284767244824, -1.2445282539027716]
[-1.03825401e-08 -9.45931647e+01 -3.98422859e+00];[1.0968612149092163, -1.2466152883692505, 1.3895554524545701, -1.246615271757131]
[ 6.51636105e-10 -9.45633016e+01 -7.97113050e+00];[0.946365353737694, -1.250379606368587, 1.5280253741263508, -1.2503796278933368]
[-1.55587015e-08 -9.45371132e+01 -1.19610632e+01];[0.7950678031463418, -1.2548472712526113, 1.658466887940737, -1.2548472906372579]
[-6.33572451e-10 -9.45133468e+01 -1.59540248e+01];[0.6446132819630009, -1.2587689026177071, 1.7801892408054567, -1.2587688716260939]
[ -3.98627506 -94.51489105 -15.95389452];[0.645497265642857, -1.1092962688141368, 1.7814532707375288, -1.4035701495181854]
[ -3.98565079 -94.53829685 -11.9609753 ];[0.7959746222081309, -1.105566884776365, 1.6596880354461871, -1.3994213586677393]
[ -3.98497677 -94.56416107  -7.97108036];[0.9473054949812207, -1.101360430025572, 1.5291891740629489, -1.3946711433102486]
[ -3.98421943 -94.59331857  -3.98421993];[1.0978577513516283, -1.0978574969676296, 1.3906699547684638, -1.3906694212027984]
[-3.98408359e+00 -9.45986612e+01 -1.30071108e-07];[1.2464412604644697, -1.0967068530238895, 1.2464407688146664, -1.3893650001140911]
[ -3.9842194  -94.5933189    3.98421893];[1.3906692681623072, -1.0978578350876191, 1.097857684573074, -1.390669741389187]
