# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Effector position;Motor angle
[-4.56267559e-05 -9.01501541e+01  6.51957388e-06];[1.0254426798092469, -1.0263775147416214, 1.0265261870649853, -1.025484735281505]
[ 2.38476484e+01 -9.83758461e+01 -1.30696330e-02];[0.8308036388590289, -1.3540709347831557, 0.8145132321073871, -0.12734618556460725]
[ 15.94453015 -98.33689543 -15.95695325];[0.3856851716638285, -1.1957071741265748, 1.1992117021630744, -0.3657933946941393]
[ 15.94733843 -98.31733877  -7.98148472];[0.6128241349029102, -1.1977906616485614, 1.0193390450436226, -0.3709032106778208]
[ 1.59502087e+01 -9.83104342e+01 -7.70833380e-03];[0.827611698398477, -1.1991665628429258, 0.8155026967570846, -0.37656366500528804]
[ 15.95551439 -98.3011376    7.96866307];[1.0238147506791817, -1.201421432072825, 0.595051593400255, -0.38292844511068885]
[ 15.95676148 -98.3371552   15.94470752];[1.1943613027544295, -1.19934605737869, 0.36534344733496205, -0.38674336794350234]
[  7.98165773 -98.31226405  15.9482195 ];[1.197043624439806, -1.0192783252162498, 0.37180838742159616, -0.6127814465869441]
[  7.98002711 -98.26364671   7.97392893];[1.0247051052677076, -1.0236144570703858, 0.601473706804106, -0.6104172953941618]
[ 7.97699041e+00 -9.82574731e+01 -3.29330696e-03];[0.8270328654718936, -1.0243115222489187, 0.821493612723195, -0.6052554599328702]
[  7.97384414 -98.26400952  -7.98008364];[0.6104831921317766, -1.0255369921652242, 1.023805295583465, -0.6005747389661769]
[  7.96902214 -98.29722281 -15.95620932];[0.38310720545099003, -1.024798064950957, 1.2016150234411194, -0.5942959652576559]
[-1.18725051e-02 -9.83365926e+01 -2.39297937e+01];[0.14552264081021302, -0.8222137304840418, 1.3502084300260595, -0.8020478327107969]
[-7.50662346e-03 -9.83018246e+01 -1.59516884e+01];[0.3768047256679736, -0.8286235706239355, 1.199484324894992, -0.8147687423905552]
[-3.28820039e-03 -9.82538988e+01 -7.97740109e+00];[0.6053597674907643, -0.82792973321512, 1.024574115316476, -0.8205854753161077]
[-5.01793032e-05 -9.82083250e+01 -3.04912969e-05];[0.8245545381950173, -0.825374352030962, 0.825511788388324, -0.8245160788879611]
[ 3.16757172e-03 -9.82537788e+01  7.97734266e+00];[1.0235633042304961, -0.8214108140265184, 0.6062101688096134, -0.8270453644551998]
[ 7.37198569e-03 -9.83017209e+01  1.59516342e+01];[1.1984749899053608, -0.8155490449837032, 0.37752015585464727, -0.8277110925777786]
[ 1.17620256e-02 -9.83362090e+01  2.39297766e+01];[1.3493268744973324, -0.8026415725878621, 0.14616702008991106, -0.8213316028165207]
[ -7.96923384 -98.29656763  15.95621319];[1.200702301095774, -0.5948302567581194, 0.38393588012813573, -1.02381400014595]
[ -7.97399181 -98.26391324   7.9800448 ];[1.0227852518364238, -0.6012381105908413, 0.611364822773749, -1.0246143191584802]
[-7.97711854e+00 -9.82573936e+01  3.26022049e-03];[0.8204840243205518, -0.6059903573383121, 0.8279652584016693, -1.0234783103126917]
[ -7.98011412 -98.26390857  -7.97394079];[0.6005196240622113, -0.6112141009627435, 1.025631489823674, -1.0228615938058792]
[ -7.98174678 -98.31247623 -15.94824141];[0.3710111864544097, -0.6136024003975217, 1.1979475547180793, -1.0185656404114167]
[-15.95689689 -98.33724198 -15.9447338 ];[0.3645911015018148, -0.38751428699672497, 1.195295685600345, -1.1984833374295891]
[-15.95570855 -98.30090957  -7.96876409];[0.5941673030866386, -0.3837323450239048, 1.024759766190797, -1.200481944333501]
[-1.59503901e+01 -9.83103232e+01  7.60328753e-03];[0.8145180581030546, -0.37734617146862537, 0.8284873650607618, -1.1981817250552282]
[-15.94751428 -98.31722791   7.98137917];[1.018302043471991, -0.3716550216684435, 0.6135906867681453, -1.196768714111523]
[-15.94475087 -98.33755165  15.95675875];[1.198394381449211, -0.36522664480325795, 0.3875947990367535, -1.1942087573530717]
[-2.39267323e+01 -9.83515729e+01  1.28190330e-02];[0.8014133264854524, -0.14486901863739993, 0.8231047663712769, -1.3488263669527618]
[-3.19351551e+01 -1.06298607e+02  9.00097253e-03];[0.5639151511765422, 0.1704917480574303, 0.5814221788106362, -1.2908994039019162]
[ -23.95464962 -106.32734755  -15.9637477 ];[0.20439708270041687, -0.03499800490450386, 0.9532348462817092, -1.1316729813719182]
[ -23.95143156 -106.30861646   -7.97885742];[0.4050756685444238, -0.04028517140011413, 0.7894646002809117, -1.1462434726163082]
[-2.39485601e+01 -1.06305339e+02  7.30533020e-03];[0.5979694248546297, -0.03927768889338984, 0.6115900895514249, -1.1501063010845056]
[ -23.94627209 -106.31464308    7.99303984];[0.7805230446352824, -0.03264361648813845, 0.4222307843934076, -1.1439625201882468]
[ -23.94646375 -106.32543062   15.97792444];[0.9498943735365127, -0.02026661330766906, 0.22466869374358633, -1.1279107145369769]
[ -15.96443116 -106.32246995   23.95528758];[1.1314201286735575, -0.2056707765160783, 0.03484597530327768, -0.9521292785554114]
[ -15.96282533 -106.31336629   15.97196458];[0.9758309406598364, -0.2260252643923205, 0.23962585654255386, -0.9764140036661919]
[ -15.96285327 -106.30684153    7.98854606];[0.8049579460391457, -0.23887784713108942, 0.43894362534231535, -0.9900474763565648]
[-1.59649788e+01 -1.06299620e+02  4.98535052e-03];[0.620990467697194, -0.24546413279967616, 0.6304479550139332, -0.9946201400071649]
[ -15.96882936 -106.29398215   -7.97956323];[0.42690687715261827, -0.2460638889970187, 0.8110681460805581, -0.9904123250323875]
[ -15.97210086 -106.31310591  -15.96280666];[0.22551306980857616, -0.2395142294294959, 0.977458982842768, -0.9758417448793498]
[ -15.97838137 -106.32057464  -23.94720634];[0.019828315282182596, -0.22466863113733254, 1.1291508131338097, -0.9500533655379093]
[  -7.99337182 -106.30593182  -23.94770452];[0.03223220257976851, -0.42230636555819273, 1.1453428540314052, -0.7807339868080286]
[  -7.9888283  -106.30249319  -15.96334094];[0.23842648900000385, -0.4389126318294264, 0.9912229029625601, -0.8050204612334688]
[  -7.98583206 -106.2828227    -7.98110615];[0.44030652244918406, -0.4468702893837302, 0.8226134196078352, -0.8193107379988712]
[-7.98312586e+00 -1.06280175e+02  2.35945088e-03];[0.6349664628572543, -0.4472192936805311, 0.6401641832596002, -0.8244709769162144]
[  -7.98112025 -106.28291797    7.98570024];[0.8193710266116879, -0.44093841362278247, 0.4469920658451562, -0.8215747701272333]
[  -7.97985956 -106.29014001   15.96911581];[0.9905310879358198, -0.4276139059293419, 0.24623652043352043, -0.8101511911278463]
[  -7.97942757 -106.30053445   23.95255674];[1.1465690864930598, -0.4058613937202642, 0.040412937430655105, -0.7886414155311999]
[ 8.52592720e-03 -1.06283956e+02  3.19382201e+01];[1.291430061811826, -0.5650019847379611, -0.170385853814251, -0.5808198715806352]
[ 7.01650709e-03 -1.06293508e+02  2.39504073e+01];[1.1505966499838058, -0.5988967599869757, 0.03945812820499861, -0.6109177014531351]
[ 4.83128966e-03 -1.06291784e+02  1.59657640e+01];[0.994917628828201, -0.6218290593905638, 0.24570741154657977, -0.6296835896588205]
[ 2.31736409e-03 -1.06276433e+02  7.98322952e+00];[0.8246786226910106, -0.6357221071186457, 0.447410005818621, -0.6393024856707626]
[-5.92264450e-05 -1.06251743e+02 -4.47058435e-05];[0.6413752710838801, -0.6420405164986719, 0.6421998619044866, -0.6412961937023912]
[-2.44864056e-03 -1.06276703e+02 -7.98331267e+00];[0.446657957018056, -0.6400796869724165, 0.8255477988479478, -0.6350127801552167]
[-4.96789428e-03 -1.06292026e+02 -1.59658418e+01];[0.24505446694862928, -0.6304906740459955, 0.9958127446527373, -0.6211540571836538]
[-7.14868833e-03 -1.06293674e+02 -2.39504831e+01];[0.038914776071975465, -0.6117417621721596, 1.1515004284983446, -0.5982449539890065]
[-8.66688275e-03 -1.06284085e+02 -3.19382655e+01];[-0.1708024625441804, -0.5816763820452435, 1.292409591437483, -0.5642635901285207]
[   7.97926654 -106.30068121  -23.9526351 ];[0.03991498635467412, -0.7895558993618519, 1.1476061981709287, -0.40512118710426887]
[   7.97971394 -106.290219    -15.9692271 ];[0.24561761454362446, -0.8110621920748582, 0.99150419463642, -0.426892174267248]
[   7.98097388 -106.28298186   -7.9858171 ];[0.44625082845043124, -0.8224736010785206, 0.8203024787890694, -0.4401978856778732]
[ 7.98297015e+00 -1.06280374e+02 -2.47726515e-03];[0.6393122650599098, -0.8253499133262412, 0.6358205769933644, -0.4464592687328563]
[   7.98569011 -106.28275973    7.98100436];[0.8216844397583017, -0.8201769327000561, 0.4410673131535889, -0.44610035113107055]
[   7.98867813 -106.30246236   15.96324861];[0.9902420561901033, -0.8058623018577099, 0.23907261981822803, -0.4381309605840432]
[   7.99322311 -106.30587286   23.94763424];[1.1443433424068163, -0.781535741530828, 0.03278042674519012, -0.4215203208212356]
[  15.97824078 -106.32055959   23.94712938];[1.128207646664965, -0.9508610986129736, 0.02039436486440155, -0.22393240844202356]
[  15.97198245 -106.31300877   15.96273378];[0.9765684509374157, -0.976639106304742, 0.22617093105943892, -0.2388134057545744]
[  15.96870973 -106.29385955    7.97948405];[0.8102120699246689, -0.9912460025773149, 0.4276710241724945, -0.2453853850573568]
[ 1.59648048e+01 -1.06299828e+02 -5.08811308e-03];[0.6296432577822112, -0.9954861406015157, 0.621837073387904, -0.24480715621075644]
[  15.9626805  -106.30689474   -7.98865774];[0.43822622670506717, -0.9909561897090389, 0.8058712176337481, -0.23825052483558778]
[  15.96264124 -106.31341428  -15.97208675];[0.23900817511292452, -0.9773531574290486, 0.9767791737151257, -0.225422449704395]
[  15.96424271 -106.32256269  -23.95540504];[0.034372420803828824, -0.95309456103408, 1.1324227195037166, -0.20500352329872248]
[  23.94627042 -106.32548758  -15.97808475];[0.22414012322993104, -1.1289520504130979, 0.9508898282922723, -0.01953477201898185]
[  23.94604981 -106.31485469   -7.99319488];[0.4215492529071866, -1.14501967324301, 0.7814228686508878, -0.031946033833591875]
[ 2.39483382e+01 -1.06305561e+02 -7.44617261e-03];[0.6107957317400191, -1.1511452165248066, 0.5988054552921388, -0.03856438793272293]
[  23.95124466 -106.3086067     7.97874626];[0.7885876441978864, -1.1472666677437167, 0.4058279739632364, -0.039562192981038996]
